# CMUdict-derived US English IPA. Source: cmusphinx/cmudict (BSD-2-Clause,
# Copyright (C) 1993-2015 Carnegie Mellon University). See THIRD_PARTY_NOTICES.md.
# Format: word<TAB>ipa1;ipa2;...   Generated by tools/make_ipa_dict.py — do not edit by hand.
a	ə;ˈeɪ
viani	viˈɑːni
viano	viˈɑːnoʊ
viansa	viˈɑːnsə
viar	ˈvaɪər
viars	ˈvaɪərz
viatical	ˌvaɪˈætɪkəl
viator	vaɪˈeɪtər
viau	viˈoʊ
vibbert	ˈvɪbərt
vibe	ˈvaɪb
viber	ˈvaɪbər
vibes	ˈvaɪbz
vibhu	ˈviːbu
vibrancy	ˈvaɪbrənsi
vibrant	ˈvaɪbrənt
vibrate	ˈvaɪbreɪt
vibrates	ˈvaɪbreɪts
vibrating	ˈvaɪbreɪtɪŋ
vibration	vaɪˈbreɪʃən
vibrational	vaɪˈbreɪʃənəl
vibrations	vaɪˈbreɪʃənz
vibrato	viˈbrɑːtoʊ
vibrator	ˈvaɪbreɪtər
vibrators	ˈvaɪbreɪtərz
vic	ˈvɪk
vic's	ˈvɪks
vicar	ˈvɪkər
vicari	viˈkɑːri
vicario	viˈkɑːrioʊ
vicarious	vaɪˈkeriəs
vicariously	vaɪˈkeriəsli
vicars	ˈvɪkərz
vicary	ˈvɪkəri
vice	ˈvaɪs
vice-president	ˌvaɪˈsprezədənt
vice-presidential	ˌvaɪˌsprezəˈdentʃəl;ˌvaɪˌsprezəˈdenʃəl
vice-presidents	ˌvaɪˈsprezədənts
vicencio	vɪˈsensioʊ
vicente	viˈtʃenti
vicenzi	vɪˈsenzi
viceroy	ˈvaɪsrɔɪ
vices	ˈvaɪsəz;ˈvaɪsɪz
vichy	ˈviːʃi
vichyssoise	ˌviːʃɪˈswɑːz
vicinity	vəˈsɪnəti;vɪˈsɪnɪti
vicino	viˈtʃiːnoʊ
vicious	ˈvɪʃəs
viciously	ˈvɪʃəsli
viciousness	ˈvɪʃəsnɪs
vicissitude	ˌvɪˈsɪsɪtud
vicissitudes	vɪˈsɪsɪtudz
vick	ˈvɪk
vicker	ˈvɪkər
vickerman	ˈvɪkərmən
vickers	ˈvɪkərz
vickery	vɪˈskɜːri;vɪˈkɜːri
vickey	ˈvɪki
vicki	ˈvɪki
vickie	ˈvɪki
vickland	ˈvɪklənd
vicknair	ˈvɪknər
vickrey	ˈvɪkri
vickroy	ˈvɪˌkrɔɪ
vicks	ˈvɪks
vicksburg	ˈvɪksbərɡ
vicky	ˈvɪki
vicky's	ˈvɪkiz
vicomte	vɪˈkɑːmti;vɪˈkɑːmt
vicon	ˈvɪkən
vicon's	ˈvɪkənz
vicorp	ˈvaɪkɔːrp
victim	ˈvɪktəm;ˈvɪktɪm
victim's	ˈvɪktəmz;ˈvɪktɪmz
victimhood	ˈvɪktəmˌhʊd
victimization	ˌvɪktəməˈzeɪʃən
victimize	ˈvɪktəmaɪz
victimized	ˈvɪktəmaɪzd
victimizing	ˈvɪktəmaɪzɪŋ
victimless	ˈvɪktəmləs
victims	ˈvɪktəmz;ˈvɪktɪmz
victims'	ˈvɪktɪmz
victoire	vɪkˈtwɑːr
victor	ˈvɪktər
victor's	ˈvɪktərz
victoria	vɪkˈtɔːriə
victoria's	vɪkˈtɔːriəz
victorian	vɪkˈtɔːriən
victorians	vɪkˈtɔːriənz
victorias	vɪkˈtɔːriəz
victories	ˈvɪktəriz;ˈvɪktriz
victorine	viktɔːˈriːni
victorino	viktɔːˈriːnoʊ
victorious	vɪkˈtɔːriəs
victors	ˈvɪktərz
victory	ˈvɪktəri;ˈvɪktri
vicuna	vɪˈkjuːnə
vida	ˈvaɪdə
vidal	vaɪˈdæl
vidales	viˈdɑːles
vidalia	vɪˈdeɪljə;vaɪˈdeɪljə
vidartes	vɪˈdɑːrtes
vidaurri	vɪˈdɔːri
vide	ˈvaɪd
video	ˈvɪdioʊ
video's	ˈvɪdioʊz
videocassette	ˈvɪdioʊkæˌset
videocassettes	ˈvɪdioʊkæˌsets
videoconference	ˈviːdioʊˌkɑːnfrəns
videoconferencing	ˌviːdioʊˈkɑːnfrənsɪŋ
videodisk	ˈvɪdioʊˌdɪsk
videodisks	ˈvɪdioʊˌdɪsks
videogame	ˈvɪdioʊˌɡeɪm
videographer	vɪdiˈɔːɡrəfər
videophile	ˈvɪdioʊˌfaɪəl
videophone	ˈvɪdioʊˌfoʊn
videos	ˈvɪdioʊz
videotape	ˌvɪdioʊˈteɪp
videotaped	ˌvɪdioʊˈteɪpt
videotapes	ˌvɪdioʊˈteɪps
videotaping	ˈvɪdioʊˌteɪpɪŋ
videotex	ˈvɪdioʊˌteks
videotext	ˈvɪdioʊˌtekst
videotron	ˈvɪdioʊˌtrɑːn
vidigo	ˈvɪdiˌɡoʊ
vidmar	ˈvɪdmər
vidonia	viˈdoʊniə
vidor	ˈviːdɔːr;ˈvɪdɔːr
vidrine	viˈdriːn
vie	ˈvaɪ
vieau	viˈoʊ
viebrock	ˈviːbrək
vied	ˈvaɪd
viedma	ˈviːdmə
viegas	ˈviːɡəz
vieira	viˈerə
viejo	viˈedʒoʊ
viel	ˈviːl
viele	ˈviːl
vielma	ˈviːlmə
vien	ˈviːn
vienna	viˈenə
vienna's	viˈenəz
vienneau	vəˈnoʊ
viennese	viˈeˌniːs
vienot	ˈviːnɑːt
viens	ˈviːnz
viera	ˈviːrə
viereck	ˈvɪrɪk
vierling	ˈvɪrlɪŋ
vierra	ˈvɪrɑː
viers	ˈvɪrz
viertel	ˈvɪrtel
viertel's	ˈvɪrtelz
viertels	ˈvɪrtelz
vies	ˈvaɪz
viet	viˈet
vietcong	viˌetˈkɔːŋ;ˌvjetˈkɔːŋ
vieth	ˈvaɪɪθ
vietnam	viˌetˈnɑːm
vietnam's	viˌetˈnɑːmz
vietnamese	viˌetnɑːˈmiːs
vietor	ˈviːtər
viets	ˈviːts
vietti	viˈeˌtiː
view	ˈvjuː
viewed	ˈvjuːd
viewer	ˈvjuːər
viewer's	ˈvjuːərz
viewers	ˈvjuːərz
viewers'	ˈvjuːərz
viewership	ˈvjuːərˌʃɪp
viewfinder	ˈvjuːˌfaɪndər
viewing	ˈvjuːɪŋ
viewpoint	ˈvjuːˌpɔɪnt
viewpoints	ˈvjuːˌpɔɪnts
views	ˈvjuːz
vieyra	viˈerə
vig	ˈvɪɡ
vigdor	ˈvɪɡdər
vigeant	ˈvɪdʒənt
vigeland	ˈvaɪɡlənd
vigeland's	ˈvaɪɡləndz
vigen	ˈvɪɡən
viger	ˈvaɪɡər;ˈvɪɡər
viggiano	vɪdʒiˈɑːˌnoʊ
vigil	ˈvɪdʒəl
vigilance	ˈvɪdʒələns
vigilant	ˈvɪdʒələnt
vigilante	ˌvɪdʒəˈlænti
vigilantes	ˌvɪdʒəˈlæntiz
vigilantism	ˌvɪdʒəˈlæntɪzəm
vigilia	viˈdʒiːliə
vigils	ˈvɪdʒəlz
viglione	vɪɡliˈoʊˌniː
vigliotti	vɪɡliˈɔːˌtiː
viglund	ˈvɪɡlənd
viglund's	ˈvɪɡləndz
vigna	ˈvɪɡnə
vigneau	vɪɡˈnoʊ
vigneault	vɪɡˈnoʊ
vignette	vɪˈnjet;viˈnjet
vignettes	vɪˈnjets
vignola	viɡˈnoʊlɑː
vigo	ˈviːɡoʊ
vigor	ˈvɪɡər
vigorito	viɡɔːˈriːtoʊ
vigorous	ˈvɪɡərəs
vigorously	ˈvɪɡərəsli
vigue	ˈviːɡ
viguerie	ˈvɪɡəri;ˌviːˈɡeri
vigus	ˈvaɪɡəs
vik	ˈvɪk
vike	ˈvaɪk
vikes	ˈvaɪks
viking	ˈvaɪkɪŋ
viking's	ˈvaɪkɪŋz
vikings	ˈvaɪkɪŋz
viktor	ˈvɪktər
vila	ˈviːlə
vilardo	viˈlɑːrˌdoʊ
vilas	ˈviːlɑːz
vile	ˈvaɪl
viles	ˈvaɪlz
vilhauer	ˈvɪlhaʊər
vilification	ˌvɪləfəˈkeɪʃən
vilified	ˈvɪləfaɪd
vilify	ˈvɪlɪˌfaɪ
villa	ˈvɪlə
villa's	ˈvɪləz
villafana	vilɑːˈfænə
villafane	vilɑːˈfɑːneɪ
villafranca	ˌvɪləˈfræŋkə
villafuerte	vilɑːfˈwerteɪ
village	ˈvɪlədʒ;ˈvɪlɪdʒ
village's	ˈvɪlɪdʒɪz
villager	ˈvɪlɪdʒər
villagers	ˈvɪlɪdʒərz
villages	ˈvɪlədʒəz;ˈvɪlɪdʒɪz
villagomez	vilɑːˈɡoʊmez
villagran	vilɑːˈɡrɑːn
villagrana	vilɑːˈɡrænə
villain	ˈvɪlən
villainous	ˈvɪlənəs
villains	ˈvɪlənz
villalba	viˈlɑːlbə
villalobos	vilɑːˈloʊboʊz
villalon	vilɑːˈlɔːn
villalovos	vilɑːˈloʊvoʊz
villalpando	vilɑːlˈpɑːndoʊ
villalva	viˈlɑːlvə
villamil	vilɑːˈmiːl
villani	viˈlɑːni
villano	viˈlɑːnoʊ
villanova	ˌvɪləˈnoʊvə
villanovan	ˌvɪləˈnoʊvən
villanueva	vilɑːnˈwevə
villar	ˈvɪlər
villard	ˈvɪlərd
villareal	vɪləriˈɑːl
villari	viˈlɑːri
villarreal	ˌviːlɑːˈriːl
villars	ˈvɪlərz
villas	ˈvɪləz
villasana	ˌviːlɑːˈsænə
villasenor	ˌviːlɑːseˈnɔːr
villaverde	ˌviːlɑːˈverdi
villavicencio	ˌvɪləvɪˈsensioʊ
ville	ˈvɪl
ville's	ˈvɪlz
villegas	ˈvɪlɪɡəz
villela	ˈvɪlɪlə
villella	viˈlelə
villeneuve	ˈvɪlɪnuv;ˈvɪlnuv
villers	ˈvɪlərz
villette	vɪˈlet
villi	ˈvɪli
villiers	ˈvɪljərz
villines	ˈvɪˌlaɪnz
villwock	ˈvɪlwək
vilma	ˈvɪlmə
vilnius	ˈvɪlniəs
viloria	viˈlɔːˌriːə
vim	ˈvɪm
vin	ˈvɪn
vina	ˈviːnə
vinal	ˈvaɪnəl
vinca	ˈvɪŋkə
vince	ˈvɪns
vince's	ˈvɪnsɪs
vincelette	ˈvɪnsɪlet
vincennes	ˌvɪnˈsenəs
vincent	ˈvɪnsənt;ˈvɪnsɪnt
vincent's	ˈvɪnsɪnts
vincente	vɪnˈtʃenti
vincenti	vinˈtʃenti
vincentia	vinˈtʃenʃə
vincenzo	vɪnˈsenzoʊ
vinci	ˈvɪnsi;ˈvɪntʃi
vinci's	ˈvɪnsiz;ˈvɪntʃiz
vinciguerra	vintʃiˈɡerə
vindicate	ˈvɪndəkeɪt
vindicated	ˈvɪndəkeɪtɪd
vindicates	ˈvɪndɪˌkeɪts
vindication	vɪndəˈkeɪʃən
vindicator	vɪndəˈkeɪtər
vindictive	vɪnˈdɪktɪv
vindictiveness	vɪnˈdɪktɪvnəs
vine	ˈvaɪn
vinegar	ˈvɪnəɡər
vinegars	ˈvɪnɪɡərz
vineland	ˈvaɪnlənd
viner	ˈvaɪnər
vines	ˈvaɪnz
vinet	ˈvɪnɪt
viney	ˈvaɪni
vineyard	ˈvɪnjərd
vineyards	ˈvɪnjərdz
vingmed	ˈvɪŋmed
vingo	ˈvɪŋɡoʊ
vini	ˈviːni
vinicio	vɪˈnɪsioʊ
vinick	ˈvɪnɪk
vinick's	ˈvɪnɪks
vinik	ˈvɪnɪk
vinik's	ˈvɪnɪks
vining	ˈvaɪnɪŋ
vining's	ˈvaɪnɪŋz
vinita	viˈniːtə
vinje	ˈvɪndʒ
vink	ˈvɪŋk
vinnick	ˈvɪnɪk
vinnick's	ˈvɪnɪks
vinnie	ˈvɪni
vinny	ˈvɪni
vinocur	ˈvɪnəkər
vinsant	ˈviːnsənt
vinso	ˈvɪnsoʊ
vinson	ˈvɪnsən
vint	ˈvɪnt
vintage	ˈvɪntɪdʒ
vintages	ˈvɪntɪdʒɪz
vintner	ˈvɪntnər
vintners	ˈvɪntnərz
vinton	ˈvɪntən
vinyard	ˈvɪnjərd
vinyl	ˈvaɪnəl
vinzant	ˈvɪnzənt
viola	vaɪˈoʊlə;viˈoʊlə
violable	ˈvaɪələbəl
violante	vioʊˈlɑːnti
violas	viˈoʊləz
violate	ˈvaɪəleɪt
violated	ˈvaɪəleɪtɪd
violates	ˈvaɪəleɪts
violating	ˈvaɪəleɪtɪŋ
violation	vaɪəˈleɪʃən
violations	vaɪəˈleɪʃənz
violator	ˈvaɪəˌleɪtər
violators	ˈvaɪəleɪtərz
viole	ˌvaɪˈoʊl
violence	ˈvaɪələns
violent	ˈvaɪələnt;ˈvaɪlənt
violently	ˈvaɪələntli;ˈvaɪləntli
violet	ˈvaɪəlɪt;ˈvaɪlɪt
violeta	ˌviːoʊˈletə;ˌvaɪoʊˈletə
violets	ˈvaɪələts;ˈvaɪləts
violett	ˈvaɪələt;ˈvaɪlət;ˌviːoʊˈlet
violetta	vioʊˈletə
violette	ˌviːoʊˈlet
violin	vaɪəˈlɪn
violinist	vaɪəˈlɪnəst
violinists	vaɪəˈlɪnəsts
violins	vaɪəˈlɪnz
violist	ˌviːˈoʊləst
violist's	ˌviːˈoʊləsts;ˌviːˈoʊləs
violists	ˌviːˈoʊləsts;ˌviːˈoʊləs
vip	ˌviːˌaɪˈpiː
vip's	ˌviːˌaɪˈpiːz
viper	ˈvaɪpər
vipers	ˈvaɪpərz
vipin	ˈvɪpɪn
vipond	ˈvɪpənd
vipont	ˈvɪˌpɑːnt
vipont's	ˈvɪˌpɑːnts
vipperman	ˈvɪpərmən
vips	ˌviːˌaɪˈpiːz
vipul	ˌviːˈpuːl
virag	ˈvɪrəɡ
virago	vɪˈrɑːˌɡoʊ
viral	ˈvaɪrəl
viramontes	vɪrɑːˈmoʊntes
viramune	ˌviːrəˈmuːˌne
viramunes	ˌviːrəˈmuːˌnez
viratek	ˈvɪrəˌtek
viray	ˈvaɪreɪ
virazole	ˈvɪrəˌzoʊl;ˈvaɪrəˌzoʊl
virco	ˈvɜːrkoʊ
virden	ˈvɜːrdən
viren	ˈvɪrən
vires	ˈvaɪrz
virga	ˈvɜːrɡə
virge	ˈvɜːrdʒ
virgen	ˈvɜːrdʒən
virgie	ˈvɜːrɡi
virgil	ˈvɜːrdʒəl
virgilio	vərˈdʒɪlioʊ
virgin	ˈvɜːrdʒɪn
virgin's	ˈvɜːrdʒənz
virginal	ˈvɜːrdʒənəl
virginia	vərˈdʒɪnjə
virginia's	vərˈdʒɪnjəz
virginian	vərˈdʒɪnjən
virginians	vərˈdʒɪnjənz
virginity	vərˈdʒɪnɪti
virgins	ˈvɜːrdʒənz
virgo	ˈvɜːrɡoʊ
virgule	ˈvɪrˌɡjuːl
virgules	ˈvɪrˌɡjuːlz
virgy	ˈvɜːrdʒi
viridis	ˈvɪrɪˌdɪs
virile	ˈvɪrəl
virility	vərˈɪləti
virina	vɪˈriːnə
virkler	ˈvɜːrkələr;ˈvɜːrklər
virna	ˈvɜːrnə
virnig	ˈvɜːrnɪɡ
virological	vaɪrəˈlɑːdʒɪkəl
virologist	vɪˈrɑːlədʒɪst
virologists	vɪˈrɑːlədʒɪsts
virology	vɪˈrɑːlədʒi
viromune	ˌvaɪroʊˈmjuːn
virts	ˈvɜːrts
virtual	ˈvɜːrtʃuəl
virtually	ˈvɜːrtʃuəli;ˈvɜːrtʃuli
virtue	ˈvɜːrtʃu
virtues	ˈvɜːrtʃuz
virtuosity	vərtʃuˈɑːsɪti
virtuoso	vərtʃuˈoʊsoʊ
virtuous	ˈvɜːrtʃuəs
virulence	ˈvɪrələns
virulent	ˈvɪrələnt
virulently	ˈvɪrələntli
virus	ˈvaɪrəs
virus's	ˈvaɪrəsɪz
viruses	ˈvaɪrəsəz;ˈvaɪrəsɪz
virzi	ˈvɪrzi
vis	ˈvɪs
vis-a-vis	ˈviːzəvi
visa	ˈviːzə
visa's	ˈviːzəz
visage	ˈvɪzədʒ
visas	ˈviːzəz
viscardi	viˈskɑːrdi
visceral	ˈvɪsərəl
viscerally	ˈvɪsərəli
visclosky	vɪˈsklɔːski
visco	ˈviːskoʊ
viscomi	viˈskoʊmi
visconti	viˈskoʊnti
viscosity	vɪˈskɑːsəti
viscount	ˈvɪskaʊnt
viscounts	ˈvɪskaʊnts
viscous	ˈvɪskəs
viscusi	viˈskuːsi
viscuso	viˈskuːsoʊ
vise	ˈvaɪs
visegrad	ˈvɪsəˌɡræd
visenteno	ˌvɪsənˈtenoʊ
vishay	ˈvɪʃeɪ
vishnu	ˈvɪʃnu
visibility	ˌvɪzəˈbɪlɪti
visible	ˈvɪzəbəl
visibly	ˈvɪzəbli
visicalc	ˈvɪzɪˌkælk
visigoth	ˈvɪzəɡɑːθ
visigoths	ˈvɪzəɡɑːθs
vision	ˈvɪʒən
vision's	ˈvɪʒənz
visionaries	ˈvɪʒəneriz
visionary	ˈvɪʒəˌneri
visions	ˈvɪʒənz
visit	ˈvɪzɪt
visitation	ˌvɪzɪˈteɪʃən
visitations	ˌvɪzɪˈteɪʃənz
visited	ˈvɪzɪtɪd
visiting	ˈvɪzɪtɪŋ
visitor	ˈvɪzɪtər
visitor's	ˈvɪzɪtərz
visitors	ˈvɪzɪtərz
visitors'	ˈvɪzɪtərz
visits	ˈvɪzɪts
visnic	ˈvɪsnɪtʃ
visor	ˈvaɪzər
visors	ˈvaɪzərz
visscher	ˈvɪʃər
visser	ˈvɪsər
vist	ˈvɪst
vista	ˈvɪstə
vista's	ˈvɪstəz
vistas	ˈvɪstəz
viston	ˈvɪstən
visual	ˈvɪʒəwəl
visualization	ˌvɪʒwələˈzeɪʃən
visualize	ˈvɪʒwəˌlaɪz
visualized	ˈvɪʒwəˌlaɪzd
visualizing	ˈvɪʒwəˌlaɪzɪŋ
visually	ˈvɪʒwəli
visuals	ˈvɪʒwəlz
visx	ˈvɪˌseks
vita	ˈvaɪtə
vitae	ˈvaɪtə
vitagliano	vitɑːɡliˈɑːnoʊ
vital	ˈvaɪtəl
vitale	vɪˈtæli;ˌvaɪˈtæl
vitali	viˈtɑːli
vitalink	ˈvaɪtəˌlɪŋk
vitality	vaɪˈtæləti
vitally	ˈvaɪtəli
vitaly	vəˈtæli;viˈtɑːli
vitamin	ˈvaɪtəmən
vitamins	ˈvaɪtəmənz
vitanza	vɪˈtænzə
vitarine	ˈvɪtərˌiːn
vitarine's	ˈvɪtərˌiːnz
vitek	ˈvɪtek
vitelli	vɪˈteli
vitello	vɪˈteloʊ
vitez	ˈvɪtez;ˈvaɪtez
viti	ˈviːti
vitia	ˈviːʃə
vitiate	ˈviːʃɪˌeɪt
vitiello	vitiˈeloʊ
vitiligo	viˈtɪlɪɡoʊ
vitner	ˈvɪtnər
vito	ˈviːtoʊ
vitolo	viˈtoʊloʊ
vitramon	ˈvɪtrəmɑːn
vitrano	viˈtrɑːnoʊ
vitreous	ˈvɪtriəs
vitric	ˈvɪtrɪk
vitriol	ˈvɪtriəl
vitriolic	ˌvɪtriˈɑːlɪk
vitro	ˈvɪtroʊ;ˈviːtroʊ
vitronics	ˌvaɪˈtrɑːnɪks
vitruvius	vɪˈtruːviəs
vitry	ˈvɪtri
vitt	ˈvɪt
vittetoe	ˈvɪtɪtoʊ
vittitow	ˈvɪtɪtoʊ
vittle	ˈvɪtəl
vittles	ˈvɪtəlz
vittoria	vɪˈtɔːriə
vittorio	viˈtɔːrioʊ
vitucci	viˈtuːtʃi
vitulli	viˈtuːli
vitullo	viˈtuːloʊ
vituperative	ˌvaɪˈtuːpərətɪv;vəˈtuːpərətɪv
viv	ˈvɪv
viva	ˈviːvə
vivacious	vəˈveɪʃəs
vivaldi	vɪˈvɑːldi
vivas	ˈviːvəz
vive	ˈviːv;ˈvaɪv
viveiros	viˈvɪroʊz
vivendi	vɪˈvendi
viverette	ˌvɪvərˈet
viveros	viˈveroʊz
vives	ˈvaɪvz
vivian	ˈvɪviən
viviana	vɪviˈænə
viviani	ˌviːviˈɑːni
viviano	ˌviːviˈɑːnoʊ
vivid	ˈvɪvəd;ˈvɪvɪd
vividly	ˈvɪvədli
vividness	ˈvɪvədnəs
vivie	ˈvɪvi
vivien	ˈvɪviən
vivienne	ˈvɪviən
vivier	ˈvaɪviər
viviparous	vaɪˈvɪpərəs
vivisepulture	ˌvɪviˈsepəltʃər
vivo	ˈviːvoʊ
vivona	viˈvoʊnə
vivra	ˈviːvrə
vivyan	viˈvjɑːn
vixen	ˈvɪksɪn
viyella	vɪˈjelə
vizcaino	vizkɑːˈiːnoʊ
vizcarra	vizˈkɑːrə
vizcaya	vɪzˈkaɪə
vizzini	vitˈsiːni
vlach	vˈlætʃ
vlachos	vˈleɪkoʊs
vlad	vˈlæd
vlad's	vˈlædz
vladeck	vˈlædek
vladic	vˈlæˌdɪk
vladimir	vˈlædəmɪr
vladislav	vˈlædəslɑːv
vladivostok	vˌlædɪˈvɔːstɑːk;vˌlædɪˈvoʊstɑːk
vlahakis	vˌlʌˈhɔːkɪs
vlahos	vˈlɑːhoʊs
vlasak	vˈlɑːsək
vlasic	vˈlæzɪk
vlcek	vˈlesɪk
vliet	vˈliːt
vlok	vˈlɑːk
vnesheconombank	vəˌneʃəˈkɑːnəmˌbæŋk
vo	ˈvoʊ
vobis	ˈvoʊbəs
vocabulary	voʊˈkæbjəˌleri
vocal	ˈvoʊkəl
vocalist	ˈvoʊkəlɪst
vocalists	ˈvoʊkəlɪsts
vocalize	ˈvoʊkəˌlaɪz
vocalizes	ˈvoʊkəˌlaɪzɪz
vocally	ˈvoʊkəli
vocals	ˈvoʊkəlz
vocaltec	ˈvoʊkəlˌtek
vocation	voʊˈkeɪʃən
vocational	voʊˈkeɪʃənəl
vocations	voʊˈkeɪʃənz
vociferate	vəˈsɪfəreɪt
vociferated	vəˈsɪfəreɪtɪd
vociferates	vəˈsɪfəreɪts
vociferating	vəˈsɪfəreɪtɪŋ
vociferous	voʊˈsɪfərəs
vociferously	vəˈsɪfərəsli
vocke	ˈvɑːk
vocs	ˈvɑːks
vodafone	ˈvoʊdəˌfoʊn
vodavi	voʊˈdɑːvi
vodicka	ˈvɑːdɪkə
vodka	ˈvɑːdkə
vodkas	ˈvɑːdkəz
voegele	ˈvoʊɡəl
voegeli	ˈvoʊɡɪli
voelkel	ˈvoʊlkəl
voelker	ˈvoʊlkər
voell	ˈvoʊl
voeller	ˈvoʊlər
voeltz	ˈvoʊlts
voelz	ˈvoʊlz
voest	ˈvoʊst
vogan	ˈvoʊɡən
voge	ˈvoʊdʒ
vogel	ˈvoʊɡəl
vogeler	ˈvoʊɡələr
vogelgesang	ˈvɑːɡɪlɡɪsəŋ
vogelpohl	ˈvɑːɡɪlpoʊl
vogels	ˈvoʊɡəlz
vogelsang	ˈvɑːɡɪlsəŋ
vogelsong	ˈvɑːɡɪlsɔːŋ
vogelstein	ˈvoʊɡəlˌstiːn;ˈvoʊɡəlˌstaɪn
voges	ˈvoʊdʒɪz
voght	ˈvɑːt
vogl	ˈvɑːɡəl
vogler	ˈvoʊɡlər
vogosca	voʊˈɡoʊskə;vəˈɡoʊskə
vogt	ˈvoʊt
vogtle	ˈvɑːɡtəl
vogue	ˈvoʊɡ
vohs	ˈvɑːs
voice	ˈvɔɪs
voice's	ˈvɔɪsɪz
voiced	ˈvɔɪst
voiceless	ˈvɔɪsləs
voicemail	ˈvɔɪˌsmeɪl
voiceover	ˈvɔɪˌsoʊvər
voices	ˈvɔɪsəz;ˈvɔɪsɪz
voicework	ˈvɔɪˌswɜːrk
voiceworks	ˈvɔɪˌswɜːrks
voicing	ˈvɔɪsɪŋ
void	ˈvɔɪd
voided	ˈvɔɪdɪd
voiding	ˈvɔɪdɪŋ
voids	ˈvɔɪdz
voight	ˈvɔɪt
voigt	ˈvɔɪɡt;ˈvɔɪt
voigts	ˈvɔɪɡts;ˈvɔɪts
voila	vˌwɑːˈlɑː
voiles	ˈvɔɪlz
voinovich	ˈvɔɪnəvɪtʃ
voir	vˈwɑːr
voisey	vˌwɑːˈseɪ;ˌvɔɪˈseɪ
voisin	vɔɪˈzæn
voisine	vɔɪˈziːn
voit	ˈvɔɪt
vojta	ˈvɔɪˌtʌ;ˈvɔɪtə
vokes	ˈvoʊks
voland	ˈvɑːlənd
volante	voʊˈlɑːnteɪ
volatile	ˈvɑːlətəl
volatility	ˌvɑːləˈtɪləti
volberding	ˈvoʊlbərdɪŋ
volcanic	vɑːlˈkænɪk
volcanically	vɑːlˈkænɪkli
volcano	vɑːlˈkeɪnoʊ
volcano's	vɑːlˈkeɪnoʊz
volcanoes	vɑːlˈkeɪnoʊz
volcanologist	ˌvɔːlkəˈnɔːlədʒɪst
volcanologists	ˌvɔːlkəˈnɔːlədʒɪsts;ˌvɔːlkəˈnɔːlədʒɪs
volcanos	vɑːlˈkeɪnoʊz
volcker	ˈvoʊlkər
volcker's	ˈvoʊlkərz
vold	ˈvoʊld
voldemort	ˈvoʊldəˌmɔːrt
voldemort's	ˈvoʊldəˌmɔːrts
volden	ˈvoʊldən
volentine	voʊlenˈtiːni
voles	ˈvoʊlz
voleta	voʊˈletə
volga	ˈvɑːlɡə
volgograd	ˈvoʊlɡoʊˌɡræd
volin	ˈvoʊlɪn
volio	ˈvoʊlioʊ
volition	voʊˈlɪʃən
volk	ˈvoʊlk
volker	ˈvoʊlkər
volkers	ˈvoʊlkərz
volkert	ˈvoʊlkərt
volkman	ˈvoʊlkmən
volkmann	ˈvoʊlkmən
volkmar	ˈvoʊlkmər
volkmer	ˈvoʊlkmər
volkogonov	voʊlˈkɔːɡəˌnɔːv
volksbank	ˈvoʊlksˌbæŋk
volksfuersorge	voʊlksˈfjuːrsɔːrdʒ
volkswagen	ˈvoʊlkˌswæɡən
volkswagen's	ˈvoʊlkˌswæɡənz
volkswagens	ˈvoʊlkˌswæɡənz
voll	ˈvɑːl
volland	ˈvɑːlənd
vollbrecht	ˈvɑːlbrɪkt
volle	ˈvɑːl
vollenweider	ˈvɑːlɪnwaɪdər
voller	ˈvɑːlər
volley	ˈvɑːli
volleyball	ˈvɑːliˌbɔːl
volleys	ˈvɑːliz
vollman	ˈvɑːlmən
vollmar	ˈvɑːlmər
vollmer	ˈvɑːlmər
vollrath	ˈvɑːlrəθ
volmer	ˈvoʊlmər
volner	ˈvoʊlnər
volney	ˈvoʊlni
volokh	ˈvɑːlɑːk
volpe	ˈvoʊlp
volpi	ˈvoʊlpi
volpicella	ˌvoʊlpɪˈselə
volt	ˈvoʊlt
volta	ˈvoʊltə
voltage	ˈvoʊltədʒ;ˈvoʊltɪdʒ
voltage's	ˈvoʊltɪdʒɪz
voltages	ˈvoʊltədʒəz;ˈvoʊltɪdʒɪz
voltaire	voʊlˈter
voltaren	ˈvoʊltərən
volts	ˈvoʊlts
voltz	ˈvoʊlts
voluble	ˈvɑːljəbəl
volume	ˈvɑːljum
volume's	ˈvɑːljəmz
volumes	ˈvɑːljumz
voluminous	vəˈluːmənəs
voluntarily	ˌvɑːlənˈterəli
voluntarism	voʊˈlʌntərˌɪzəm
voluntary	ˈvɑːlənteri
volunteer	ˌvɑːlənˈtɪr
volunteered	ˌvɑːlənˈtɪrd
volunteering	ˌvɔːlənˈtɪrɪŋ
volunteerism	ˌvɔːlənˈtɪˌrɪzəm
volunteers	ˌvɑːlənˈtɪrz
voluptuous	vəˈlʌptʃəwəs
volvo	ˈvoʊlvoʊ
volvo's	ˈvoʊlvoʊz
volvos	ˈvɔːlvoʊz
volvovitz	ˈvoʊlvəvɪts
volvox	ˈvɑːlvɑːks
volz	ˈvoʊlz
vomit	ˈvɑːmət
vomiting	ˈvɑːmətɪŋ
von	ˈvɔːn
von-braun	ˌvɑːnˈbrɔːn
vona	ˈvoʊnə
vonada	voʊˈnɑːdə
vonallmen	ˈvɑːnəlmen
vonarx	vəˈnɑːrks
